property_id,purpose,type,added_on,furnishing,currency,price,location,bed,bath,size,permit_number,agent_name,image_url,breadcrumb,amenities,description
Bayut - 10403-lamujN,For Rent,Apartment,3 June 2024,,AED,"39,998","Noor Apartment 1, JVT District 2, Jumeirah Village Triangle (JVT), Dubai",Studio,1 Bath,523 sqft,7179025035,Shadaab Ahmed Shabbir Patel,https://images.bayut.com/thumbnails/540725058-800x600.jpeg,Apartment for rent in Dubai Apartments>Jumeirah Village Triangle (JVT)>JVT District 2>Noor Apartment 1>Bayut - 10403-lamujN,"Centrally Air-Conditioned,Gym or Health Club,Kids Play Area,Waste Disposal,Centrally Air-Conditioned,Gym or Health Club,Kids Play Area,Waste Disposal,Maintenance Staff,Cleaning Services,Security Staff,CCTV Security","( ****DIRECT FROM OWNER****) (***NO COMMISSION***) Bulk units available for rent at the best price.  • Multiple sizes of Studios and 1 BR/2 BR • 24 Hours Security Guards and CCTV Cameras in the whole building • Minimart within the building • Communal gardens • One Parking space per unit • Shared Gym & Children's Play Area with equipment • Built-in wardrobes • Centralized A/C Noor Apartment 1 is located in District 2 of the Jumeirah Village Triangle. This low-rise residential building comprises Studios, 1 Bedroom, and 2 Bedroom apartments and is also close to the park. JVT is a master development by Nakheel and is a freehold community located between Emirates Road and Al Khail Road in Dubai. It is 30 minutes from the Dubai International Airport and 15 minutes from the beach or Marina area.  You can go and check in the building and the security guard will show you the Apartment, Security guard Shariq :  View Contact Detail CONTACT DETAILS: View Contact Detail MR SHADAAB AHMED SHABBIR PATEL View Contact Detail EMAIL:OSCARREALEST AT GMAIL DOT COM"
Bayut - 6094-xp8fVf,For Rent,Apartment,20 June 2024,Unfurnished,AED,"225,000","Terrace Apartments B, Terrace Apartments, Green Community East, Green Community, Dubai",3 Beds,5 Baths,"4,542 sqft",7165140480,Amir Bahman Mohammad Ali Kabiri Sedei,https://images.bayut.com/thumbnails/727336971-800x600.jpeg,Apartment for rent in Dubai Apartments>Green Community>Green Community East>Terrace Apartments>Terrace Apartments B>Bayut - 6094-xp8fVf,"Balcony or Terrace,Parking Spaces,: 2,View,Centrally Air-Conditioned,Parking Spaces,: 2,Centrally Air-Conditioned,Double Glazed Windows,Storage Areas,Balcony or Terrace,Service Elevators,Lawn or Garden,CCTV Security,Laundry Room,Broadband Internet,Satellite/Cable TV,View","Property Details: - 3 Bedroom + Maids - 5 Bathrooms - BUA: 4,542 Sqft - Huge Terrace - Built-In Closets - Full Lake View - Well Maintained  - No. Parking: 2 - Unfurnished - Vacant - Storage Room Amenities: - Shops & Retail Outlets Nearby - Walking Trail  - Tennis Court - Shared Swimming Pool Company name: 99 Real Estate Broker LLC RERA ORN: 206 Address: Shop 5, Marina View Tower, Dubai Marina Office phone no: Display phone number Primary email:  Send e-mail Website: 99realestate. ae Company Profile: 99 Real Estate Brokers, established in 2003 with our headquarters located in Dubai Marina provide you with a ""Needs-based"" service. Our expert multilingual brokers assess every clients needs and provide consultation in Dubai real estate. For any help regarding Selling, Renting or Buying of Ready or Off-plan properties, do not hesitate to contact our brokers."
Bayut - 2778-DxNR10,For Rent,Apartment,2 July 2024,Unfurnished,AED,"100,000","Building 1, Hartland Greens, Sobha Hartland, Dubai",1 Bed,2 Baths,863 sqft,7136698724,Muhammad Amer,https://images.bayut.com/thumbnails/729048999-800x600.jpeg,Apartment for rent in Dubai Apartments>Sobha Hartland>Hartland Greens>Building 1>Bayut - 2778-DxNR10,"Balcony or Terrace,Swimming Pool,Sauna,Electricity Backup,Electricity Backup,Centrally Air-Conditioned,Double Glazed Windows,Balcony or Terrace,Lobby in Building,Service Elevators,Gym or Health Club,Swimming Pool,Sauna,Kids Play Area,Waste Disposal,Cleaning Services,CCTV Security","Foot Print Real Estate is proud to present this spacious and fabulous One Bedroom apartment in The Sobha Hartland Greens.  Sobha Hartland is a master-community which is part of Mohammad bin Rashid City and will feature various components including town-houses, luxury villas, high-rise, and low-rise apartments, mixed-use buildings and a small retail area. Within Sobha Hartland, there is a low-rise apartment community consisting of 16 buildings and this area is called Hartland Greens.  Property Details: - 1 Bedrooms - 2 Bathrooms - With Wardrobes - Modern Finishing - Community View - With Balcony -1 Covered Parking  - Ready to Move in - Spacious Apartment - Luxurious Lifestyle - Unfurnished - Near Public Transport Amenities: - High-Speed Elevator - Shared Pool and Gym - Close to Mall and upscale Restaurants - Close to supermarket - Excellent Connectivity to Public Transportation - Sauna - Spa - Kids Play Area - Infinity Pool Foot Print Real Estate is a Dubai based real estate brokerage firm, which was formed in April 2008 with a proven track record in successful private real estate investments as well as private property development previously operating in the Emirates of Sharjah since the year 2005."
Bayut - 100324-0XZKM1,For Rent,Apartment,29 June 2024,,AED,"35,999","Easy 18, International City Phase 2 (Warsan 4), International City, Dubai",Studio,1 Bath,351 sqft,71164695313,Zawar Hussain,https://images.bayut.com/thumbnails/728778368-800x600.jpeg,Apartment for rent in Dubai Apartments>International City>International City Phase 2 (Warsan 4)>Easy 18>Bayut - 100324-0XZKM1,"Balcony or Terrace,Parking Spaces,: 1,Centrally Air-Conditioned,Storage Areas,Parking Spaces,: 1,Centrally Air-Conditioned,Storage Areas,Balcony or Terrace,Lobby in Building,Reception/Waiting Room,Gym or Health Club,Kids Play Area,Lawn or Garden,Waste Disposal,Maintenance Staff,Cleaning Services,Security Staff,CCTV Security,Laundry Facility,Freehold","Enlighten Properties is delighted to offer this Spacious Studio Apartment in Easy 18 located in International City, with high out-standing finishes and garden facing.   Situated in the coveted International City neighborhood, this studio apartment offers a generously sized and open living space, complemented by an open kitchen, a private balcony, and inner view. The high-quality finishing throughout the apartment adds a touch of sophistication to the living experience, making it an ideal choice for those seeking a perfect home.  The apartment is located on the middle floor of the building.   PROPERTY DETAILS AND AMENITIES: ■ Studio Apartment ■ 1 Bathroom ■ Balcony ■ Parking space ■ Covered parking ■ Central A/C ■ Build in wardrobes ■ Swimming pools ■ Gym *Viewing 24/7 For further details or to arrange a viewing appointment please contact Enlighten Properties About Our Company: - Buy | Sale | Rent   - Holiday Homes - Property Management  - Cost to Cost Maintenance for Owner and Tenant only - 4.9 Star Rating on Google   - Free In-House Marketing  - Mortgage Advisory ENLIGHTEN PROPERTIES is a leading real estate company in Dubai, committed to assist local and international clients for their property investment and rental needs ENLIGHTEN PROPERTIES is ready to assist you with your Real Estate needs in a fast, courteous and professional manner.  Tenants interested in taking a managed property by Enlighten Properties call now to find out more.  Location: Office B903, Prime Business Centre, Jumeirah Village Circle (JVC) Tel:  View Contact Detail ORN #: 29691 Website: www. enlightenproperties. ae   Email  Send e-mail"
Bayut - 102783-MAk6Hb,For Rent,Apartment,9 February 2024,Unfurnished,AED,"70,000","Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",1 Bed,1 Bath,487 sqft,71279460221,Sahabzada Zabee Ullah,https://images.bayut.com/thumbnails/412588375-800x600.jpeg,Apartment for rent in Dubai Apartments>Sobha Hartland>Sobha Creek Vistas Reserve>Bayut - 102783-MAk6Hb,"Balcony or Terrace,Parking Spaces,: 1,Swimming Pool,Total Floors,: 33,Electricity Backup,Parking Spaces,: 1,Centrally Air-Conditioned,Central Heating,Double Glazed Windows,Balcony or Terrace,Lobby in Building,Elevators in Building,: 12,Service Elevators,Reception/Waiting Room,Total Floors,: 33,Gym or Health Club,Swimming Pool,Sauna,Steam Room,Kids Play Area,Lawn or Garden,Waste Disposal,Maintenance Staff,Security Staff,CCTV Security,Broadband Internet,Intercom,24 Hours Concierge,Nearby Shopping Malls,View","SWIMMING POOL VIEW MULTIPLE CHEQUE'S | BIG LAYOUT | CHILLER FREE Shark Real Estate is pleased to offer you this 1 Bedroom Apartment in Creek Vistas Reserve, Sobha Hartland.  Key highlights of the apartment: 1 Bedroom 1 Bathroom Kitchen 1 Balcony Covered Parking Amenities: Kids Play Area Gym or Health Club Swimming Pool Balcony or Terrace Service Elevators Reception/Waiting Room Security Staff CCTV Security 24 Hours Concierge Double Glazed Windows Centrally Air-Conditioned Central Heating Electricity Backup Maintenance Staff CONTACT :  View Contact Detail"
Bayut - 9778-djKLo5,For Rent,Apartment,29 June 2024,Furnished,AED,"85,000","Global Lake View, JLT Cluster E, Jumeirah Lake Towers (JLT), Dubai",1 Bed,1 Bath,682 sqft,7144460150,Qunish Waris,https://images.bayut.com/thumbnails/728865712-800x600.jpeg,Apartment for rent in Dubai Apartments>Jumeirah Lake Towers (JLT)>JLT Cluster E>Global Lake View>Bayut - 9778-djKLo5,"Balcony or Terrace,Parking Spaces,: 1,Swimming Pool,Centrally Air-Conditioned,Parking Spaces,: 1,Centrally Air-Conditioned,Balcony or Terrace,Lobby in Building,Gym or Health Club,Swimming Pool,Kids Play Area,Security Staff,CCTV Security","Brought you by Braavos Real Estate this Stunning 1 Bedroom Apartment for Rent located in Global Lake View, Lake Almas East, Jumeirah Lake Towers, Dubai PROPERTY DETAILS: ☑️ 1 Bedroom Apartment ☑️ 1 Bathroom ☑️ Fully Furnished ☑️ Huge Balcony ☑️ Fully Fitted Kitchen ☑️ Great Amenities FETAURES AND AMENITIES: ☑️ 24 Hour Security ☑️ Modern Elevators ☑️ Covered Car Parking ☑️ Gymnasium ☑️ Swimming Pool ☑️ Fitness Club About Braavos Braavos Real Estate is a fully integrated real estate firm based in JVC, Dubai, U. A. E. In addition to offering unique investment opportunities, we provide real estate brokerage and consultancy services. We provide a customized menu of high-quality services tailored to your specific needs and to maximize the profitability and potential of Real Estate Assets.  With our distinct yet cohesive divisions all under one roof, we are your single source for any project. We specialize in guiding you through the development process from start to finish and our unique structure allows us to streamline this process for you. We take pride in providing quality and timely workmanship, superior customer service, and sound investment advice. Our professional Team with more than 10 years of extensive experience in the market caters to the client's every delicate need.  The focus has been on the selling, buying, and leasing of premium residential, commercial, hotel apartments, lifestyle gated communities, and redevelopment projects primarily in Dubai."
Bayut - 1215-Ap-R-0579,For Rent,Apartment,26 June 2024,Furnished,AED,"420,000","The Address Residences Dubai Opera Tower 1, The Address Residences Dubai Opera, Downtown Dubai, Dubai",2 Beds,2 Baths,"1,196 sqft",7131139694,Mohamed Rafik Elkabany,https://images.bayut.com/thumbnails/728252501-800x600.jpeg,Apartment for rent in Dubai Apartments>Downtown Dubai>The Address Residences Dubai Opera>The Address Residences Dubai Opera Tower 1>Bayut - 1215-Ap-R-0579,,"18Bricks Real Estate is delighted to offer you this  two (2) bedroom apartment  situated in a very prestigious tower -  Address Opera Tower 1, Downtown Dubai.  Property Details: Direct and unobstructed view of Burj Khalifa and Fountain Best 2 bedroom layout Vacant, ready to move-in High-end furniture Open kitchen with quality marble and complete appliances Two bathroom Balcony One (1) parking spaces Viewing can be arranged by appointment We have multiple units in the same tower and around the area Address Residences Dubai Opera  is an exclusive serviced apartment development in Downtown Dubai, destined to set new standards in luxury and service. The naval-inspired two-tower complex rises majestically in The Opera District — a flourishing cultural hub only a stone throw away from the Burj Khalifa and The Dubai Mall.  18Bricks® Group Real Estate | Investment | Mortgage | Holiday Homes ✅ Expert Insights: UAE market mastery for confident investments.  ✅ Exclusive Access: Prime properties, off-market treasures.  ✅ Tailored Financing: In-house mortgage guidance for your needs.  ✅ Personalized Approach: Tailored advice for maximum returns.  ✅ Realize Investment Dreams: Expertise empowering all investors.  ✅ Deluxe & Modern Holiday Homes.  📞 Contact us now to embark on your investment journey with 18Bricks®"
Bayut - 2778-IPFaLJ,For Rent,Apartment,24 June 2024,Furnished,AED,"60,000","O Ten, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Studio,1 Bath,390 sqft,71410498158,Muhai Ud Din,https://images.bayut.com/thumbnails/727739781-800x600.jpeg,Apartment for rent in Dubai Apartments>Al Jaddaf>Dubai Healthcare City Phase 2>O Ten>Bayut - 2778-IPFaLJ,"Parking Spaces,: 1,Swimming Pool,Sauna,Steam Room,Parking Spaces,: 1,Swimming Pool,Sauna,Steam Room,Maintenance Staff,Security Staff,CCTV Security","Muhai from the Foot Print Real Estate is pleased to offer you spacious Studio Apartment in Al Jadaf O Ten building, Dubai, UAE.   Unit Particulars: - Unit type: Studio Apartment  Number of Washrooms: 1 Kitchen: Equipped  Furnished: Yes Number of Parking: 1 Size: 390 Square feet Payment Terms: Rent Price: 60,000/-AED In 2Chq Only Security Deposit: 6,000/-AED Agency fee: 3,000/-AED +VAT Dewa Security Deposit: 2,135/-AED Ejari : 222/-AED Building Details: -Spacious Apartment with Balcony -Spacious wardrobes with elegant finishing - Open kitchen with ample storage & countertop space -A quality-finished bathroom at the entrance of the apartment -Covered Parking -Central Air Conditioning  -24/7 building security -3 high-speed elevators & a beautifully designed guest lobby -All the restaurants, supermarkets, clinics, pharmacies, shopping malls are nearby -Easy access to the rest of Dubai via Al Khail Road & Sh Zayed Road Company Name: Foot Print Real Estate Location: Office # 304 Bay Sqaure Business Bay Contact Person: Muhai- Senior Property Consultant Broker ID: 26062 www. fpproperty. com"
Bayut - luxehomes-RA53113,For Rent,Villa,8 May 2024,Unfurnished,AED,"320,000","MAG Eye Townhouses, MAG City, District 7, Mohammed Bin Rashid City, Dubai",4 Beds,5 Baths,"3,447 sqft",69341568831,Ricardo Abraham Gonzalez,https://images.bayut.com/thumbnails/690485610-800x600.jpeg,Villa for rent in Dubai Villas>Mohammed Bin Rashid City>District 7>MAG City>MAG Eye Townhouses>Bayut - luxehomes-RA53113,"Balcony or Terrace,Maids Room,Swimming Pool,Centrally Air-Conditioned,Centrally Air-Conditioned,Balcony or Terrace,Gym or Health Club,Swimming Pool,Kids Play Area,Lawn or Garden,Barbeque Area,Business Center,Security Staff,CCTV Security,Laundry Room,Maids Room","luxe homes is pleased to present this expansive Four-Bedroom Villa, featuring contemporary design and elegant interiors. Nestled in MAG Eye Villas by MAG Property Development in MBR City, Dubai. Enjoy a family-friendly gated community with round-the-clock security and a host of leisure facilities and is minutes away from iconic landmarks.  PROPERTY FEATURES: ■ 4 Bedrooms  ■ 5 Bathrooms  ■ Semi Open Layout Kitchen  ■ Living Space  ■ Dining Space ■ Walk-in Closets  ■ Built-in Wardrobes  ■ Laundry Room  ■ Maid's Room + Bath ■ Balcony  ■ Porch  ■ Private Garden ■ 2-Car Garage MAG Eye Villas offers seamless accessibility via major highways and trams. Close to Meydan Racecourse, with easy access to Al Khail and Sheikh Mohammad Bin Zayed Roads. Enjoy quick drives to Downtown Dubai, Burj Khalifa, The Dubai Mall, DIFC, and Dubai International Airport.  COMMUNITY AMENITIES: ⚑ Kindergarten ⚑ Gymnasium and Swimming Pool ⚑ Retail outlets and Health clubs ⚑ Kids Play Area and Parks ⚑ Courtyards and Gardens For further details, please drop us a message on WhatsApp - or peruse the extraordinary selection of properties we maintain on the luxe home website. Our area specialist will be happy to answer any of your questions related to the property listed.    Get in touch with us on: Call:  View Contact Detail Email:  Send e-mail Web: www. luxehomesdubai. com"
Bayut - RL-56694,For Rent,Villa,26 April 2024,Furnished,AED,"385,000","Picadilly Green, DAMAC Hills, Dubai",4 Beds,5 Baths,"5,440 sqft",6585226890,Afiea Akhtar,https://images.bayut.com/thumbnails/423656064-800x600.jpeg,Villa for rent in Dubai Villas>DAMAC Hills>Picadilly Green>Bayut - RL-56694,Balcony or Terrace,"Afiea from White and Co. is proud to bring to you this incredible 4 Bedroom Villa in Damac Hills, in the spectacular Picadilly Greens community. The villa benefits from open plan living and dining area perfect for families and entertaining guests, modern style with attention to detail, epitome of luxury is experienced living in this villa.  - Covered Parking - 4 en-suite bedrooms - Modern Furniture - Malibu beach - Close to Community Pool - Large Living/Diner Room - Trump International Golf Club - 5439 sqft Plot - 3167 sqft BUA DAMAC Hills is a well-established self-contained community comprising villas, apartments, and a hotel. It also boasts nearly four million square feet of parkland offering various themed areas for relaxation and sports – including restful gardens and lakes, a skate park, stables, a football field, tennis courts, and more.  White and Co are the Brightest and Fastest growing Real Estate Brokerage Firm in Dubai.  Please contact Afiea to book a viewing on  View Contact Detail"
